"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 16:17:27 GMT 2024","Mon Jun 03 16:17:33 GMT 2024","5867","","","","","","Verify redirection from Main page after block number click",""
"passed","Mon Jun 03 16:14:22 GMT 2024","Mon Jun 03 16:14:23 GMT 2024","701","","","","","","Verify ""Status"" column in ""Latest Transactions"" table",""
"passed","Mon Jun 03 16:14:08 GMT 2024","Mon Jun 03 16:14:09 GMT 2024","974","","","","","","Check copy button action on ""/tx/0xe84dcdaa4e40c9899763c8f55255376fd77f3a588be0fe0afa69f153a0ae3f10"" page",""
"passed","Mon Jun 03 16:15:33 GMT 2024","Mon Jun 03 16:15:34 GMT 2024","948","","","","","","Search random tx hash / inexistent with ""0x16adbc2511be767d03be088a4242d07829433e0bbb9d8a27489b971f1113ecfa""",""
"passed","Mon Jun 03 16:15:03 GMT 2024","Mon Jun 03 16:15:04 GMT 2024","1173","","","","","","Verify column ""Status"" tab on Contract page",""
"passed","Mon Jun 03 16:14:21 GMT 2024","Mon Jun 03 16:14:21 GMT 2024","635","","","","","","Count rows in ""Latest Batches"" table",""
"passed","Mon Jun 03 16:14:22 GMT 2024","Mon Jun 03 16:14:23 GMT 2024","803","","","","","","Verify row ""Verified nonce"" for Account info on Account page",""
"passed","Mon Jun 03 16:14:20 GMT 2024","Mon Jun 03 16:14:21 GMT 2024","1034","","","","","","Verify left table contains ""Status"" row and ""Verified"" value on Block page",""
"passed","Mon Jun 03 16:14:44 GMT 2024","Mon Jun 03 16:14:45 GMT 2024","860","","","","","","Verify Smart contract verification Page",""
"passed","Mon Jun 03 16:16:34 GMT 2024","Mon Jun 03 16:16:40 GMT 2024","5964","","","","","","Verify redirection from Account page after ""Value"" click",""
"passed","Mon Jun 03 16:14:33 GMT 2024","Mon Jun 03 16:14:34 GMT 2024","1702","","","","","","Verify Transaction table contains ""Fee"" row",""
"passed","Mon Jun 03 16:14:35 GMT 2024","Mon Jun 03 16:14:36 GMT 2024","1033","","","","","","Verify Transaction table contains ""Input data"" row",""
"passed","Mon Jun 03 16:15:05 GMT 2024","Mon Jun 03 16:15:06 GMT 2024","1160","","","","","","Verify column ""From"" tab on Contract page",""
"passed","Mon Jun 03 16:14:52 GMT 2024","Mon Jun 03 16:14:53 GMT 2024","1197","","","","","","Verify Contract tab for ""Are you owner of this smart-contract?"" visibility on Contracts page",""
"passed","Mon Jun 03 16:14:32 GMT 2024","Mon Jun 03 16:14:33 GMT 2024","1651","","","","","","Verify label ""out"" for Account info on Account page",""
