"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 10:54:56 GMT 2024","Thu Mar 07 10:55:02 GMT 2024","5969","","","","","","Verify redirection from Block page L1 addresses to etherscan after address click",""
"passed","Thu Mar 07 10:52:21 GMT 2024","Thu Mar 07 10:52:22 GMT 2024","962","","","","","","Verify left table contains ""Block Size"" row and ""6"" value on Block page",""
"passed","Thu Mar 07 10:52:22 GMT 2024","Thu Mar 07 10:52:23 GMT 2024","1064","","","","","","Verify Logs tab artifact for ""Address"" on Transaction page",""
"passed","Thu Mar 07 10:52:42 GMT 2024","Thu Mar 07 10:52:43 GMT 2024","713","","","","","","Search incorrect tx hash with ""0x16adbc2511be767d03be088a4242d07829433e0bbb9d8a27489b971f1113ec""",""
"passed","Thu Mar 07 10:53:04 GMT 2024","Thu Mar 07 10:53:08 GMT 2024","3513","","","","","","Check ""COMBO"" hashes copying for Tokens page",""
"passed","Thu Mar 07 10:52:52 GMT 2024","Thu Mar 07 10:52:52 GMT 2024","590","","","","","","Count rows in ""Latest Batches"" table",""
"passed","Thu Mar 07 10:52:43 GMT 2024","Thu Mar 07 10:52:44 GMT 2024","630","","","","","","Search incorrect tx hash with ""0xW6adbc2511be767d03be088a4242d07829433e0bbb9d8a27489b971f1113ecff""",""
"passed","Thu Mar 07 10:52:27 GMT 2024","Thu Mar 07 10:52:28 GMT 2024","974","","","","","","Verify right table contains ""Prove tx hash"" row and ""0xbda7a65f5de30c866639a"" value on Block page",""
"passed","Thu Mar 07 10:52:59 GMT 2024","Thu Mar 07 10:53:00 GMT 2024","727","","","","","","Verify Smart contract verification Page",""
"passed","Thu Mar 07 10:52:52 GMT 2024","Thu Mar 07 10:52:53 GMT 2024","1053","","","","","","Check ""Commit tx hash"" hashes copying on Block page",""
"passed","Thu Mar 07 10:53:00 GMT 2024","Thu Mar 07 10:53:01 GMT 2024","1048","","","","","","Verify table contains ""Price"" column name on Tokens page",""
"passed","Thu Mar 07 10:52:36 GMT 2024","Thu Mar 07 10:52:37 GMT 2024","713","","","","","","Search incorrect batch number with ""341а44""",""
"passed","Thu Mar 07 10:52:38 GMT 2024","Thu Mar 07 10:52:39 GMT 2024","983","","","","","","Check ""To"" hashes copying for Transaction page",""
"passed","Thu Mar 07 10:52:39 GMT 2024","Thu Mar 07 10:52:39 GMT 2024","735","","","","","","Search correct contract hash",""
"passed","Thu Mar 07 10:53:01 GMT 2024","Thu Mar 07 10:53:02 GMT 2024","1151","","","","","","Verify Contract tab for ""0x000400000000000200050000000"" visibility on Contracts page",""
"passed","Thu Mar 07 10:52:46 GMT 2024","Thu Mar 07 10:52:47 GMT 2024","636","","","","","","Fill the search field by empty value and try to search",""
"passed","Thu Mar 07 10:54:09 GMT 2024","Thu Mar 07 10:54:15 GMT 2024","5471","","","","","","Verify redirection for ""verified blocks"" from Main Page",""
