"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 08 14:38:27 GMT 2024","Mon Apr 08 14:38:58 GMT 2024","30704","","","","","","Check copy button action on ""/address/0x574343B3d1544477f2C4dF38c2Ef720Ab33e782b"" page",""
"failed","Mon Apr 08 14:36:12 GMT 2024","Mon Apr 08 14:36:42 GMT 2024","30462","","","","","","Check social networks icon ""join"" is available, clickable and have correct href",""
"failed","Mon Apr 08 14:38:38 GMT 2024","Mon Apr 08 14:38:56 GMT 2024","17733","","","","","","Verify Latest transaction ""Transaction Hash"" on Account page",""
"failed","Mon Apr 08 14:44:16 GMT 2024","Mon Apr 08 14:44:34 GMT 2024","17441","","","","","","Network stats is displayed",""
"failed","Mon Apr 08 14:57:17 GMT 2024","Mon Apr 08 14:57:35 GMT 2024","17582","","","","","","Verify Transaction table contains ""Batch"" row",""
"failed","Mon Apr 08 14:37:45 GMT 2024","Mon Apr 08 14:38:03 GMT 2024","17680","","","","","","Verify Latest transaction ""Status"" on Account page",""
"failed","Mon Apr 08 14:35:29 GMT 2024","Mon Apr 08 14:35:47 GMT 2024","17532","","","","","","Verify right table contains ""Prove tx hash"" row and ""0xbda7a65f5de30c866639a"" value on Block page",""
"failed","Mon Apr 08 14:47:34 GMT 2024","Mon Apr 08 14:47:51 GMT 2024","17616","","","","","","Verify table contains ""Value"" column name on Transactions page",""
"failed","Mon Apr 08 14:57:26 GMT 2024","Mon Apr 08 14:57:57 GMT 2024","30733","","","","","","Check ""ETH"" hashes copying for Tokens page",""
"failed","Mon Apr 08 14:49:05 GMT 2024","Mon Apr 08 14:49:36 GMT 2024","30692","","","","","","Check hashes copying from title on Contract/Block/Accounts page",""
"failed","Mon Apr 08 14:47:11 GMT 2024","Mon Apr 08 14:47:28 GMT 2024","17447","","","","","","Verify ""Transaction Hash"" column in ""Latest Transactions"" table",""
"failed","Mon Apr 08 14:40:48 GMT 2024","Mon Apr 08 14:41:06 GMT 2024","17648","","","","","","Verify block transactions table contains ""Method""",""
"failed","Mon Apr 08 14:46:05 GMT 2024","Mon Apr 08 14:46:36 GMT 2024","30498","","","","","","Count rows in ""Latest Transactions"" table",""
"failed","Mon Apr 08 14:38:56 GMT 2024","Mon Apr 08 14:39:13 GMT 2024","17680","","","","","","Verify Latest transaction ""Age"" on Account page",""
"failed","Mon Apr 08 14:43:03 GMT 2024","Mon Apr 08 14:43:34 GMT 2024","30631","","","","","","Check ""Input data"" hashes copying for Transaction page",""
"failed","Mon Apr 08 14:37:16 GMT 2024","Mon Apr 08 14:37:33 GMT 2024","17680","","","","","","Verify right table contains ""Executed"" row and ""2023-03-25"" value on Block page",""
"failed","Mon Apr 08 14:48:26 GMT 2024","Mon Apr 08 14:48:44 GMT 2024","17565","","","","","","Verify table contains ""Fee"" column name on Transactions page",""
"failed","Mon Apr 08 14:38:08 GMT 2024","Mon Apr 08 14:38:26 GMT 2024","17599","","","","","","Verify block transactions table contains ""Transaction Hash""",""
"failed","Mon Apr 08 15:01:28 GMT 2024","Mon Apr 08 15:01:58 GMT 2024","30717","","","","","","Verify Smart contract verification Page",""
"failed","Mon Apr 08 14:59:56 GMT 2024","Mon Apr 08 15:00:26 GMT 2024","30616","","","","","","Verify Smart contract verification Page",""
"failed","Mon Apr 08 14:41:17 GMT 2024","Mon Apr 08 14:41:35 GMT 2024","17682","","","","","","Verify Latest transaction ""Value"" on Account page",""
"failed","Mon Apr 08 14:47:28 GMT 2024","Mon Apr 08 14:47:46 GMT 2024","17430","","","","","","Verify ""Transaction Hash"" column in ""Latest Transactions"" table",""
