"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 14:09:10 GMT 2024","Mon Mar 18 14:09:11 GMT 2024","913","","","","","","Verify Logs tab artifact for ""Name"" on Transaction page",""
"passed","Mon Mar 18 14:09:27 GMT 2024","Mon Mar 18 14:09:28 GMT 2024","1525","","","","","","Verify label ""create"" for method column on Contract page",""
"passed","Mon Mar 18 14:12:05 GMT 2024","Mon Mar 18 14:12:06 GMT 2024","1569","","","","","","Verify redirection to ""Goerli (Stage2)"" network",""
"passed","Mon Mar 18 14:11:10 GMT 2024","Mon Mar 18 14:11:16 GMT 2024","5975","","","","","","Verify redirection from Transaction page after ""To"" click",""
"passed","Mon Mar 18 14:09:27 GMT 2024","Mon Mar 18 14:09:29 GMT 2024","1149","","","","","","Verify Transaction table contains ""Status"" row",""
"passed","Mon Mar 18 14:09:20 GMT 2024","Mon Mar 18 14:09:22 GMT 2024","1132","","","","","","Check ""Transaction Hash"" hashes copying for Transaction page",""
"passed","Mon Mar 18 14:09:33 GMT 2024","Mon Mar 18 14:09:34 GMT 2024","1004","","","","","","Check data type dropdown for ""Data"" and select ""Hex""",""
"passed","Mon Mar 18 14:09:26 GMT 2024","Mon Mar 18 14:09:27 GMT 2024","1041","","","","","","Verify label ""self"" for Account info on Account page",""
"passed","Mon Mar 18 14:10:59 GMT 2024","Mon Mar 18 14:11:05 GMT 2024","5428","","","","","","Verify redirection for ""transactions"" from Main Page",""
"passed","Mon Mar 18 14:09:36 GMT 2024","Mon Mar 18 14:09:37 GMT 2024","732","","","","","","Check the element ""Bridge"" in Tools section is available, clickable and have correct href (Sepolia)",""
"passed","Mon Mar 18 14:12:47 GMT 2024","Mon Mar 18 14:12:52 GMT 2024","5876","","","","","","Verify L1 redirection from Account page after ""from address"" click",""
"passed","Mon Mar 18 14:09:28 GMT 2024","Mon Mar 18 14:09:29 GMT 2024","1176","","","","","","Check data type dropdown for ""Topics"" and select ""Hex""",""
"passed","Mon Mar 18 14:09:45 GMT 2024","Mon Mar 18 14:09:46 GMT 2024","910","","","","","","Verify left table contains ""Block Size"" row and ""6"" value on Block page",""
"passed","Mon Mar 18 14:10:15 GMT 2024","Mon Mar 18 14:10:15 GMT 2024","536","","","","","","Verify Network stats component contains ""Committed Blocks"" block",""
"passed","Mon Mar 18 14:09:36 GMT 2024","Mon Mar 18 14:09:37 GMT 2024","801","","","","","","Search random contract hash / inexistent",""
"passed","Mon Mar 18 14:09:25 GMT 2024","Mon Mar 18 14:09:26 GMT 2024","1051","","","","","","Verify Latest transaction ""Value"" on Account page",""
"passed","Mon Mar 18 14:10:01 GMT 2024","Mon Mar 18 14:10:02 GMT 2024","1363","","","","","","Verify redirection to ""zkSync Era Sepolia Testnet"" network",""
"passed","Mon Mar 18 14:09:46 GMT 2024","Mon Mar 18 14:09:47 GMT 2024","1222","","","","","","Verify table contains ""Token Address"" column name on Tokens page",""
"passed","Mon Mar 18 14:10:04 GMT 2024","Mon Mar 18 14:10:06 GMT 2024","1202","","","","","","Verify table contains ""Age"" column name on Blocks page",""
"passed","Mon Mar 18 14:09:20 GMT 2024","Mon Mar 18 14:09:21 GMT 2024","1522","","","","","","Check Dashboard redirection from Account page to Main page",""
"passed","Mon Mar 18 14:12:08 GMT 2024","Mon Mar 18 14:12:08 GMT 2024","748","","","","","","Verify redirection to ""zkSync Era Sepolia Testnet"" network",""
"passed","Mon Mar 18 14:09:14 GMT 2024","Mon Mar 18 14:09:15 GMT 2024","970","","","","","","Verify Logs tab artifact for ""345359500000000"" on Transaction page",""
"passed","Mon Mar 18 14:09:29 GMT 2024","Mon Mar 18 14:09:30 GMT 2024","1098","","","","","","Check data type dropdown for ""Topics"" and select ""Number""",""
"passed","Mon Mar 18 14:09:19 GMT 2024","Mon Mar 18 14:09:20 GMT 2024","1072","","","","","","Check copy button action on ""/address/0x574343B3d1544477f2C4dF38c2Ef720Ab33e782b"" page",""
"passed","Mon Mar 18 14:10:09 GMT 2024","Mon Mar 18 14:10:10 GMT 2024","1218","","","","","","Verify table contains ""From"" column name on Transactions page",""
"passed","Mon Mar 18 14:09:45 GMT 2024","Mon Mar 18 14:09:46 GMT 2024","783","","","","","","Verify Smart contract verification Page",""
"passed","Mon Mar 18 14:09:39 GMT 2024","Mon Mar 18 14:09:45 GMT 2024","5421","","","","","","Verify redirection from Main page after latest transactions click",""
"passed","Mon Mar 18 14:11:52 GMT 2024","Mon Mar 18 14:11:57 GMT 2024","5388","","","","","","Verify redirection from Main page after latest transactions click",""
"passed","Mon Mar 18 14:11:03 GMT 2024","Mon Mar 18 14:11:04 GMT 2024","891","","","","","","Verify redirection for ""Transactions"" in BE menu",""
"passed","Mon Mar 18 14:09:18 GMT 2024","Mon Mar 18 14:09:19 GMT 2024","1113","","","","","","Check copy button action on ""/address/0xc2C6aE3B10c741A3FD291a1C1Baadc41fD2d84d5"" page",""
"passed","Mon Mar 18 14:10:32 GMT 2024","Mon Mar 18 14:10:33 GMT 2024","1322","","","","","","Verify column ""Age"" tab on Contract page",""
"passed","Mon Mar 18 14:09:43 GMT 2024","Mon Mar 18 14:09:44 GMT 2024","1047","","","","","","Check ""Prove tx hash"" hashes copying on Block page",""
"passed","Mon Mar 18 14:09:24 GMT 2024","Mon Mar 18 14:09:24 GMT 2024","887","","","","","","Check ""Input data"" hashes copying for Transaction page",""
"passed","Mon Mar 18 14:09:31 GMT 2024","Mon Mar 18 14:09:32 GMT 2024","951","","","","","","Verify Transaction table contains ""To"" row",""
"passed","Mon Mar 18 14:11:22 GMT 2024","Mon Mar 18 14:11:28 GMT 2024","5697","","","","","","Verify redirection from Transaction page after ""Tokens Transferred"" click",""
"passed","Mon Mar 18 14:09:26 GMT 2024","Mon Mar 18 14:09:27 GMT 2024","1070","","","","","","Verify Transaction table contains ""Transaction Hash"" row",""
"failed","Mon Mar 18 14:09:37 GMT 2024","Mon Mar 18 14:10:00 GMT 2024","22750","","","","","","Check Processed status component for Transaction page",""
"passed","Mon Mar 18 14:09:29 GMT 2024","Mon Mar 18 14:09:30 GMT 2024","914","","","","","","Search correct address / account",""
"passed","Mon Mar 18 14:09:34 GMT 2024","Mon Mar 18 14:09:35 GMT 2024","1127","","","","","","Check data type dropdown for ""Data"" and select ""Number""",""
"passed","Mon Mar 18 14:09:55 GMT 2024","Mon Mar 18 14:09:57 GMT 2024","2604","","","","","","Check ""COMBO"" hashes copying for Tokens page",""
"passed","Mon Mar 18 14:09:49 GMT 2024","Mon Mar 18 14:09:50 GMT 2024","1077","","","","","","Verify label ""self"" for Account info on Account page",""
"passed","Mon Mar 18 14:09:16 GMT 2024","Mon Mar 18 14:09:17 GMT 2024","872","","","","","","Verify row ""Address"" for Account info on Account page",""
"passed","Mon Mar 18 14:09:15 GMT 2024","Mon Mar 18 14:09:16 GMT 2024","818","","","","","","Verify column ""Token Address"" for Balances on Account page",""
"passed","Mon Mar 18 14:09:15 GMT 2024","Mon Mar 18 14:09:16 GMT 2024","970","","","","","","Check copy button action on ""/tx/0xc598db886275ce5d7900fbfb6797afb3231a117446d91eb0dd8cf69addf90779"" page",""
"passed","Mon Mar 18 14:09:23 GMT 2024","Mon Mar 18 14:09:24 GMT 2024","483","","","","","","Verify ""Status"" column in ""Latest Batches"" table",""
"passed","Mon Mar 18 14:09:52 GMT 2024","Mon Mar 18 14:09:55 GMT 2024","3127","","","","","","Check ""MUTE"" hashes copying for Tokens page",""
"passed","Mon Mar 18 14:13:11 GMT 2024","Mon Mar 18 14:13:17 GMT 2024","5854","","","","","","Verify redirection from Block page after ""to address"" click",""
"passed","Mon Mar 18 14:11:23 GMT 2024","Mon Mar 18 14:11:28 GMT 2024","5847","","","","","","Verify redirection from Account page after ""tx hash"" click",""
"passed","Mon Mar 18 14:10:00 GMT 2024","Mon Mar 18 14:10:06 GMT 2024","5973","","","","","","Check Processed status component for Transaction page",""
"passed","Mon Mar 18 14:11:16 GMT 2024","Mon Mar 18 14:11:22 GMT 2024","5759","","","","","","Verify redirection from Transaction page after ""Fee"" click",""
"passed","Mon Mar 18 14:10:27 GMT 2024","Mon Mar 18 14:10:32 GMT 2024","5899","","","","","","Verify redirection from Transactions page after ""tx hash"" click",""
"passed","Mon Mar 18 14:09:36 GMT 2024","Mon Mar 18 14:09:37 GMT 2024","1152","","","","","","Check hashes copying from title on Contract/Block/Accounts page",""
"passed","Mon Mar 18 14:09:37 GMT 2024","Mon Mar 18 14:09:38 GMT 2024","666","","","","","","Search correct tx hash",""
"passed","Mon Mar 18 14:09:51 GMT 2024","Mon Mar 18 14:09:57 GMT 2024","5479","","","","","","Verify redirection for ""verified blocks"" from Main Page",""
"passed","Mon Mar 18 14:09:32 GMT 2024","Mon Mar 18 14:09:33 GMT 2024","1025","","","","","","Check data type dropdown for ""Topics"" and select ""Address""",""
"passed","Mon Mar 18 14:10:11 GMT 2024","Mon Mar 18 14:10:12 GMT 2024","927","","","","","","Verify table contains ""Method"" column name on Transactions page",""
"passed","Mon Mar 18 14:10:44 GMT 2024","Mon Mar 18 14:10:50 GMT 2024","5933","","","","","","Verify redirection from Transactions page after ""Value"" click",""
"passed","Mon Mar 18 14:09:11 GMT 2024","Mon Mar 18 14:09:12 GMT 2024","893","","","","","","Check the element ""Smart Contract Verification"" in Tools section is available, clickable and have correct href (Mainnet)",""
"passed","Mon Mar 18 14:09:44 GMT 2024","Mon Mar 18 14:09:45 GMT 2024","800","","","","","","Verify Smart contract verification Page",""
"passed","Mon Mar 18 14:10:32 GMT 2024","Mon Mar 18 14:10:37 GMT 2024","5427","","","","","","Verify redirection for ""batch number"" from Main Page",""
"passed","Mon Mar 18 14:10:38 GMT 2024","Mon Mar 18 14:10:44 GMT 2024","5942","","","","","","Verify redirection from Transactions page after ""to address"" click",""
